UID,day,session,position,paper_presentation,long_presentation,title,abstract,primary_author,authors_and_affil,authors,primary_subject,secondary_subject,SpecialTrack,abstract_short,StudentAuthor,StudentAuthor.1,AwardNominee,pdf_name,pdf_path,video,poster_pdf,thumbnail,slides_pdf,channel_url,slack_channel
247,2,4,15,"In-person, in Bengaluru",False,Violin Etudes: A Comprehensive Dataset for f0 Estimation and Performance Analysis,"Violin performance analysis requires accurate and robust f0 estimates to give feedback on the playing accuracy. Despite the recent advancements in data-driven f0 estimators, their application to performance analysis remains a challenge due to style-specific and dataset-induced biases. In this paper, we address this problem by introducing Violin Etudes, a 27.8-hours violin performance dataset constructed with domain knowledge in instrument pedagogy and a novel automatic f0-labeling paradigm. Experimental results on unseen datasets show that the CREPE f0 estimator trained on Violin Etudes outperforms the widely-used pre-trained version trained on multiple manually-labeled datasets. Further preliminary findings suggest that (i) existing data-driven f0 estimators may overfit to equal temperament, and (ii) iterative re-labeling regularized by our novel Constrained Harmonic Resynthesis method can simultaneously enhance datasets and f0 estimators. Our dataset curation methodology is easily scalable to other instruments owing to the quantity of pedagogical data online. It also supports a range of MIR research directions thanks to the performance difficulty labels from educational institutions.",Nazif Can Tamer,"Nazif Can Tamer (Music Technology Group, Universitat Pompeu Fabra, Barcelona)*; Pedro Ramoneda (Music Technology Group, Universitat Pompeu Fabra, Barcelona); Xavier Serra (Music Technology Group, Universitat Pompeu Fabra, Barcelona)","Tamer, Nazif Can*; Ramoneda, Pedro; Serra, Xavier","Evaluation, datasets, and reproducibility -> novel datasets and use cases",Applications -> music training and education; MIR fundamentals and methodology -> music signal processing; MIR tasks -> music transcription and annotation,No,"We present the Violin Etudes, a 27-hour solo violin dataset with automatically extracted f0 annotations, and show that an f0 estimator trained only in this data outperforms its widely-used pretrained version trained on multiple manually-labeled datasets, even its own train data.",Yes,No,No,000062.pdf,https://archives.ismir.net/ismir2022/paper/000062.pdf,https://drive.google.com/open?id=1IPSsENILVK8vxVgU3UIxr7jdaXa4igHO,https://drive.google.com/open?id=1Pe6eIW16fjgO0ETh3Q9sd_JjwJSE_KN8,https://drive.google.com/open?id=1lejNaNGIyLL-wdhandNH3zZsyMd0h_U3,https://docs.google.com/presentation/d/1vZY1jPw0EHtTtabWBwtSzRa_OxNdjTG4Y2ACjtedWsg/edit?usp=sharing,https://slack.com/app_redirect?channel=C04C4QQSSR5,p4-16-tamer
278,2,4,16,"In-person, in Bengaluru",False,Checklist Models for Improved Output Fluency in Piano Fingering Prediction,"In this work we present a new approach for the task of predicting fingerings for piano music. While prior neural approaches have often treated this as a sequence tagging problem with independent predictions, we put forward a checklist system, trained via reinforcement learning, that maintains a representation of recent predictions in addition to a hidden state, allowing it to learn soft constraints on output structure. We also demonstrate that by modifying input representations --- which in prior work using neural models have often taken the form of one-hot encodings over individual keys on the piano --- to encode relative position on the keyboard to the prior note instead, we can achieve much better performance. Additionally, we reassess the use of raw per-note labeling precision as an evaluation metric, noting that it does not adequately measure the fluency, i.e. human playability, of a model's output. To this end, we compare methods across several statistics which track the frequency of adjacent finger predictions that while independently reasonable would be physically challenging to perform in sequence, and implement a reinforcement learning strategy to minimize these as part of our training loss. Finally through human expert evaluation, we demonstrate significant gains in performability directly attributable to improvements with respect to these metrics.",Nikita Srivatsan,Nikita Srivatsan (Carnegie Mellon University)*; Taylor Berg-Kirkpatrick (UC San Diego),"Srivatsan, Nikita*; Berg-Kirkpatrick, Taylor",Domain knowledge -> machine learning/artificial intelligence for music,"Evaluation, datasets, and reproducibility -> evaluation metrics; MIR fundamentals and methodology -> symbolic music processing; MIR tasks -> music transcription and annotation; Musical features and properties -> expression and performative aspects of music",No,"We present a checklist based model for predicting fingerings of piano music, which by maintaining an explicit representation of previous predictions allows for more locally fluent outputs, and evaluate performance using new metrics which more directly assess human playability than raw precision.",Yes,Yes,No,000063.pdf,https://archives.ismir.net/ismir2022/paper/000063.pdf,https://drive.google.com/open?id=1RqjP2h5ag5vKCHu74UP_e47X0oITpCfr,https://drive.google.com/open?id=1Xg6yXeePIMzTGwW9cIYD8OrhnMTleR3o,https://drive.google.com/open?id=1T566PJrcDZKQioNyBGuZGIT0gKPtC0mt,https://drive.google.com/open?id=1nxxFcIHkySfjXN59Z6_BrjsO9DpZURmo,https://slack.com/app_redirect?channel=C04CGCVTYER,p4-17-srivatsan
182,3,5,0,Virtually,True,Sonus Texere! Automated Dense Soundtrack Construction for Books using Movie Adaptations,"Reading, much like music listening, is an immersive experience that transports readers while taking them on an emotional journey. Listening to complementary music has the potential to amplify the reading experience, especially when the music is stylistically cohesive and emotionally relevant. In this paper, we propose the first fully automatic method to build a dense soundtrack for books, which can play high-quality instrumental music for the entirety of the reading duration. Our work employs a unique text processing and music weaving pipeline that determines the context and emotional composition of scenes in a chapter. This allows our method to identify and play relevant excerpts from the soundtrack of the book's movie adaptation. By relying on the movie composer's craftsmanship, our book soundtracks include expert-made motifs and other scene-specific musical characteristics. We validate the design decisions of our approach through a perceptual study. Our readers note that the book soundtrack greatly enhanced their reading experience, due to high immersiveness granted via uninterrupted and style-consistent music, and a heightened emotional state attained via high precision emotion and scene context recognition.",Jaidev Shriram,"Jaidev Shriram (International Institute of Information Technology, Hyderabad)*; Makarand Tapaswi (International Institute of Information Technology, Hyderabad); Vinoo Alluri (International Institute of Information Technology, Hyderabad)","Shriram, Jaidev*; Tapaswi, Makarand; Alluri, Vinoo",Applications -> music retrieval systems,"Applications -> music videos, multimodal music systems; Human-centered MIR -> human-computer interaction; MIR fundamentals and methodology -> multimodality; MIR fundamentals and methodology -> web mining, and natural language processing; Musical features and properties -> musical affect, emotion and mood",No,"We present a novel technique to construct a soundtrack for books that have movie adaptations using techniques in MIR (music segmentation), NLP (emotion recognition, text segmentation), and Computer Vision (book-movie alignment).",Yes,Yes,Yes,000064.pdf,https://archives.ismir.net/ismir2022/paper/000064.pdf,https://drive.google.com/open?id=1YIXPR5kcOdosuEa_NY8O6_nNAfppR4be,https://drive.google.com/open?id=12NsPyqn-BWfzNDxOujGOSN9u5OmRqfw7,https://drive.google.com/open?id=1OkDCpMGhQPCTw6-NJkomhIWc4apI_Nd2,,https://slack.com/app_redirect?channel=C04CY0N3SAD,p5-01-shriram
74,3,5,1,"In-person, in Bengaluru",False,Musika! Fast Infinite Waveform Music Generation,"Fast and user-controllable music generation could enable novel ways of composing or performing music. However, state-of-the-art music generation systems require large amounts of data and computational resources for training, and are slow at inference. This makes them impractical for real-time interactive use. In this work, we introduce Musika, a music generation system that can be trained on hundreds of hours of music using a single consumer GPU, and that allows for much faster than real-time generation of music of arbitrary length on a consumer CPU. We achieve this by first learning a compact invertible representation of spectrogram magnitudes and phases with adversarial autoencoders, then training a Generative Adversarial Network (GAN) on this representation for a particular music domain. A latent coordinate system enables generating arbitrarily long sequences of excerpts in parallel, while a global context vector allows the music to remain stylistically coherent through time. We perform quantitative evaluations to assess the quality of the generated samples and showcase options for user control in piano and techno music generation. We release the source code and pretrained autoencoder weights at github.com/marcoppasini/musika, such that a GAN can be trained on a new music domain with a single GPU in a matter of hours.",Marco Pasini,"Marco Pasini (Institute of Computational Perception, Johannes Kepler University Linz, Austria)*; Jan Schlüter (Institute of Computational Perception, Johannes Kepler University Linz, Austria)","Pasini, Marco*; Schlüter, Jan",MIR tasks -> music generation,"Applications -> music composition; Domain knowledge -> machine learning/artificial intelligence for music; Human-centered MIR -> human-computer interaction; MIR tasks -> music synthesis and transformation; Musical features and properties -> rhythm, beat, tempo",No,"We propose a non-autoregressive, user controllable waveform music generation system capable of generating music of arbitrary length much faster than real-time on a consumer CPU.",Yes,Yes,No,000065.pdf,https://archives.ismir.net/ismir2022/paper/000065.pdf,https://drive.google.com/open?id=1QEAvbOv9-M-xqHS2is_LZEmCn-nMRucU,https://drive.google.com/open?id=1zfEG0D_LeA7eaEgXwyjNiyY0XaKGa2OP,https://drive.google.com/open?id=13qHfRkly7cxulZcRxBlxrlHy-s1VgkYE,https://docs.google.com/presentation/d/1FMcr8xN6-g-jw3inBSzbwXHsPOjHeuOwn0AFv6wHVU0/edit?usp=sharing,https://slack.com/app_redirect?channel=C04CGCU6FQD,p5-02-pasini
49,3,5,2,Virtually,False,Symphony Generation with Permutation Invariant Language Model,"In this work, we propose a permutation invariant language model, SymphonyNet, as a solution for symbolic symphony music generation. We propose a novel Multi-track Multi-instrument Repeatable (MMR) representation for symphonic music and model the music sequence using a Transformer-based auto-regressive language model with specific 3-D positional embedding. To overcome length overflow when modeling extra-long symphony tokens, we also propose a modified Byte Pair Encoding algorithm (Music BPE) for music tokens and introduce a novel linear transformer decoder architecture as a backbone. Meanwhile, we train the decoder to learn automatic orchestration as a joint task by masking instrument information from the input. We also introduce a large-scale symbolic symphony dataset for the advance of symphony generation research. Empirical results show that the proposed approach can generate coherent, novel, complex and harmonious symphony as a pioneer solution for multi-track multi-instrument symbolic music generation.",Maosong Sun,"Jiafeng Liu (Department of Music AI and Music Information Technology, Central Conservatory of Music); Yuanliang Dong (Department of Music AI and Music Information Technology, Central Conservatory of Music); Zehua Cheng (Department of Computer Science, University of Oxford); Xinran Zhang (Department of Music AI and Music Information Technology, Central Conservatory of Music); XiaoBing Li (Department of Music AI and Music Information Technology, Central Conservatory of Music); Feng Yu (Department of Music AI and Music Information Technology, Central Conservatory of Music); Maosong Sun (Department of Music AI and Music Information Technology, Central Conservatory of Music, Department of Computer Science and Technology, Tsinghua University)*","Liu, Jiafeng; Dong, Yuanliang; Cheng, Zehua; Zhang, Xinran; Li, XiaoBing; Yu, Feng; Sun, Maosong*",MIR tasks -> music generation,Applications -> music composition; Domain knowledge -> machine learning/artificial intelligence for music; Domain knowledge -> representations of music; MIR fundamentals and methodology -> symbolic music processing; Musical features and properties -> representations of music,No,"The pioneer solution for multi-track multi-instrument symbolic music generation with 3D representation, music BPE, and large symphony dataset provided.",Yes,Yes,No,000066.pdf,https://archives.ismir.net/ismir2022/paper/000066.pdf,https://drive.google.com/open?id=1VQXKiPKq3ta7o52v7CpIYK9ezoB2GdSR,https://drive.google.com/open?id=1RzyAAP0f_Sir7ugDaOc-kCYu2yOchsXk,https://drive.google.com/open?id=1sbutrPvF0UszD1DINTysrrG_riGItu2W,,https://slack.com/app_redirect?channel=C04CKB81QV8,p5-03-sun
150,3,5,3,"In-person, in Bengaluru",False,MuLan: A Joint Embedding of Music Audio and Natural Language,"Music tagging and content-based retrieval systems have traditionally been constructed using pre-defined ontologies covering a rigid set of music attributes or text queries. This paper presents MuLan: a first attempt at a new generation of acoustic models that link music audio directly to unconstrained natural language music descriptions. MuLan takes the form of a two-tower, joint audio-text embedding model trained using 44 million music recordings (370K hours) and weakly-associated, free-form text annotations. Through its compatibility with a wide range of music genres and text styles (including conventional music tags), the resulting audio-text representation subsumes existing ontologies while graduating to true zero-shot functionalities. We demonstrate the versatility of the MuLan embeddings with a range of experiments including transfer learning, zero-shot music tagging, language understanding in the music domain, and cross-modal retrieval applications.",Qingqing Huang,"Qingqing Huang (Google Research)*; Aren Jansen (Google Research); Joonseok Lee (Google Research, Seoul National University); Ravi Ganti (Google Research); Judith Yue Li (Google Research); Dan P W Ellis (Google Research)","Huang, Qingqing*; Jansen, Aren; Lee, Joonseok; Ganti, Ravi; Li, Judith Yue; Ellis, Daniel P W",MIR fundamentals and methodology -> multimodality,"MIR fundamentals and methodology -> metadata, tags, linked data, and semantic web; MIR fundamentals and methodology -> music signal processing; MIR fundamentals and methodology -> web mining, and natural language processing; MIR tasks -> automatic classification; MIR tasks -> indexing and querying",No,"We train a large music-text joint embedding model with cross modal contrastive learning on large scale web mined data, and explore various applications enabled by the natural language interface.",No,No,No,000067.pdf,https://archives.ismir.net/ismir2022/paper/000067.pdf,https://drive.google.com/open?id=1qL-do2sSYGYWyqtivxrNRELnzLrF9MoB,https://drive.google.com/open?id=1k29DiyZ1qC3TGAVBbv9Gox1bVCdKt30Z,https://drive.google.com/open?id=1eaa1toshAC9rwK91a2oDJuG1O4Fv3jvC,https://drive.google.com/open?id=1NwaCiAUhT9qdCtVYy_5wkhEY6Gm8lXY5,https://slack.com/app_redirect?channel=C04CY0MQK0R,p5-04-huang
64,3,5,4,Virtually,False,MeloForm: Generating Melody with Musical Form based on Expert Systems and Neural Networks,"Human usually composes music by organizing elements according to the musical form to express music ideas. However, for neural network-based music generation, it is difficult to do so due to the lack of labelled data on musical form. In this paper, we develop MeloForm, a system that generates melody with musical form using expert systems and neural networks. Specifically, 1) we design an expert system to generate a melody by developing musical elements from motifs to phrases then to sections with repetitions and variations according to pre-given musical form; 2) considering the generated melody is lack of musical richness, we design a Transformer based refinement model to improve the melody without changing its musical form. MeloForm enjoys the advantages of precise musical form control by expert systems and musical richness learning via neural models. Both subjective and objective experimental evaluations demonstrate that MeloForm generates melodies with precise musical form control with 97.79% accuracy, and outperforms baseline systems in terms of subjective evaluation score by 0.75, 0.50, 0.86 and 0.89 in structure, thematic, richness and overall quality, without any labelled musical form data. Besides, MeloForm can support various kinds of forms, such as verse and chorus form, rondo form, variational form, sonata form, etc.",Peiling Lu,"Peiling Lu (Microsoft Research Asia, Beijing, China)*; Xu Tan (Microsoft Research Asia, Beijing, China); Botao Yu (Nanjing University, Nanjing, China); Tao Qin (Microsoft Research Asia, Beijing, China); Sheng Zhao (Microsoft Azure Speech, Beijing, China); Tie-Yan Liu (Microsoft Research Asia, Beijing, China)","Lu, Peiling*; Tan, Xu; Yu, Botao; Qin, Tao; Zhao, Sheng; Liu, Tie-Yan",Domain knowledge -> machine learning/artificial intelligence for music,"Applications -> music composition; MIR tasks -> music generation; Musical features and properties -> structure, segmentation, and form",No,"We develop MeloForm, a system that generates melody with musical form using expert systems and neural networks without any labelled musical form data.",No,No,No,000068.pdf,https://archives.ismir.net/ismir2022/paper/000068.pdf,https://drive.google.com/open?id=1rBjo-iaak7h15gX1VfV7ikwjGX3EJW7Z,https://drive.google.com/open?id=1BmC8AZSGL18PUxACuqRa0KW0aA9o5WfI,https://drive.google.com/open?id=1TRDSd6ecnkeVasup3eVMMeGzI-uxXEND,,https://slack.com/app_redirect?channel=C04CGCU222Z,p5-05-lu
88,3,5,5,"In-person, in Bengaluru",False,Towards robust music source separation on loud commercial music,"Nowadays, commercial music has extreme loudness and heavily compressed dynamic range compared to the past. Yet, in music source separation, these characteristics have not been thoroughly considered, resulting in the domain mismatch between the laboratory and the real world. In this paper, we confirmed that this domain mismatch negatively affect the performance of the music source separation networks. To this end, we first created the out-of-domain evaluation datasets, musdb-L and XL, by mimicking the music mastering process.
 Then, we quantitatively verify that the performance of the state-of-the-art algorithms significantly deteriorated in our datasets. Lastly, we proposed LimitAug data augmentation method to reduce the domain mismatch, which utilizes an online limiter during the training data sampling process. We confirmed that it not only alleviates the performance degradation on our out-of-domain datasets, but also results in higher performance on in-domain data.",Chang-Bin Jeon,"Chang-Bin Jeon (Department of Intelligence and Information, Music and Audio Research Group, Seoul National University)*; Kyogu Lee (Department of Intelligence and Information, Music and Audio Research Group, Seoul National University)","Jeon, Chang-Bin*; Lee, Kyogu",MIR tasks -> sound source separation,"Evaluation, datasets, and reproducibility -> MIR tasks; Evaluation, datasets, and reproducibility -> novel datasets and use cases",No,We proposed new datasets and methods for robust music source separation.,Yes,No,No,000069.pdf,https://archives.ismir.net/ismir2022/paper/000069.pdf,https://drive.google.com/open?id=1ilduQ9Hu7bEM3-LyhIPunNf_EsImHi15,https://drive.google.com/open?id=1BVzyruwuCtVOo0mBayApzFtvGt5oXBV7,https://drive.google.com/open?id=127RJsbbf9Mc2VWbGLoWvfewfI4X4KN8w,https://drive.google.com/open?id=1sbdTQN9tK9S44zkJI-gKiJ8zMRhhKW6K,https://slack.com/app_redirect?channel=C04CK86ASM9,p5-06-jeon
116,3,5,6,Virtually,False,Towards Quantifying the Strength of Music Scenes Using Live Event Data,"There are many benefits for a community when there is a vibrant local music scene (e.g., increased mental & physical well-being, increased economic activity) and there are many factors that contribute to an environment in which a live music scene can thrive (e.g., available performance spaces, helpful government policies). In this paper, we explore using an estimate of the live music event rate (LMER) as a rough indicator to measure the strength of a local music scene. We define LMER as the number of music shows per 100,000 people per year and then explore how this indicator is (or is not) correlated with 28 other socioeconomic indicators. To do this, we analyze a set of 308,051 music events from 2019 across 1,139 cities in the United States. Our findings reveal that factors related to transportation (e.g., high walkability), population (high density), economics (high employment rate), age (high proportion of individuals age 20-29), and education (bachelor’s degree or higher) are strongly correlated with having a high number of live music events. Conversely, we did not find statistically significant evidence that other indica- tors (e.g., racial diversity) are correlated.",Michael Zhou,Michael Zhou (Columbia University)*; Andrew McGraw (University of Richmond); Douglas R Turnbull (Ithaca College),"Zhou, Michael*; McGraw, Andrew; Turnbull, Douglas R","Applications -> music and health, well-being and therapy","Evaluation, datasets, and reproducibility -> novel datasets and use cases; MIR fundamentals and methodology -> web mining, and natural language processing; Philosophical and ethical discussions -> legal and societal aspects of MIR",No,We propose using the Live Music Event Rate (LMER) to measure the strength of a local music scene.,Yes,Yes,No,000070.pdf,https://archives.ismir.net/ismir2022/paper/000070.pdf,https://drive.google.com/open?id=1h0-RY1e8olgt50_HS-BNt25DWVFn059w,https://drive.google.com/open?id=1mqBWv0DB-be4qKV11vRujzJ27MNpU4vV,https://drive.google.com/open?id=1UHf0cUF8zZQzNB5_sVVBxS9E9E4EQMFb,,https://slack.com/app_redirect?channel=C04CGCUHYSH,p5-07-zhou
237,3,5,7,"In-person, in Bengaluru",False,Learning Multi-Level Representations for Hierarchical Music Structure Analysis.,"Recent work in music structure analysis has shown the potential of deep features to highlight the underlying structure of music audio signals. Despite promising results achieved by such representations, dealing with the inherent hierarchical aspect of music structure remains a challenging problem. Because different levels of segmentation can be considered as equally valid, specifically designed representations should be optimized to improve hierarchical structure analysis. In this work, we explore unsupervised learning of such representations using a contrastive approach operating at different time-scales. We evaluate the proposed system on flat and multi-level music segmentation. By leveraging both time and the hierarchical organization of music structure, we show that the obtained deep embeddings can encode meaningful patterns and improve segmentation at various levels of granularity.",Morgan Buisson,"Morgan Buisson (LTCI, Télécom Paris, Institut Polytechnique de Paris, France)*; Brian McFee (Music and Audio Research Laboratory, New York University, USA, Center of Data Science, New York University, USA); Slim Essid (LTCI, Télécom Paris, Institut Polytechnique de Paris, France); Helene C Crayencour (L2S, CNRS-Univ.Paris-Sud-CentraleSupélec, France)","Buisson, Morgan*; McFee, Brian; Essid, Slim; Crayencour, Crayencour, Hélène C.","Musical features and properties -> structure, segmentation, and form",Domain knowledge -> machine learning/artificial intelligence for music; Musical features and properties -> representations of music,No,"In this work, we use a contrastive learning approach at different time scales to build representations that improve music segmentation at different levels of granularity.",Yes,Yes,No,000071.pdf,https://archives.ismir.net/ismir2022/paper/000071.pdf,https://drive.google.com/open?id=1XLUMzf3uoejFSWn5jGnSPpzQ3cHKM5Jm,https://drive.google.com/open?id=1bAMp-dLazBX41bIuF7RGiZgAR6QSoRku,https://drive.google.com/open?id=1RD0vj9G3DxjdrBAkN_NotQCczqfKn7zA,https://docs.google.com/presentation/d/1j6KgEpjKJOZo83CY6JioDDtizJ2luFsJKE8YinVCR2o/edit?usp=sharing,https://slack.com/app_redirect?channel=C04CK87J411,p5-08-buisson
246,3,5,8,Virtually,False,Multi-instrument Music Synthesis with Spectrogram Diffusion,"An ideal music synthesizer should be both interactive and expressive, generating high-fidelity audio in realtime for arbitrary combinations of instruments and notes. Recent neural synthesizers have exhibited a tradeoff between domain-specific models that offer detailed control of only specific instruments, or raw waveform models that can train on any music but with minimal control and slow generation. In this work, we focus on a middle ground of neural synthesizers that can generate audio from MIDI sequences with arbitrary combinations of instruments in realtime. This enables training on a wide range of transcription datasets with a single model, which in turn offers note-level control of composition and instrumentation across a wide range of instruments. We use a simple two-stage process: MIDI to spectrograms with an encoder-decoder Transformer, then spectrograms to audio with a generative adversarial network (GAN) spectrogram inverter. We compare training the decoder as an autoregressive model and as a Denoising Diffusion Probabilistic Model (DDPM) and find that the DDPM approach is superior both qualitatively and as measured by audio reconstruction and Fréchet distance metrics. Given the interactivity and generality of this approach, we find this to be a promising first step towards interactive and expressive neural synthesis for arbitrary combinations of instruments and notes.",Curtis Hawthorne,"Curtis Hawthorne (Google Research, Brain Team)*; Ian Simon (Google Research, Brain Team); Adam Roberts (Google Research, Brain Team); Neil Zeghidour (Google Research, Brain Team); Joshua Gardner (University of Washington); Ethan Manilow (Interactive Audio Lab, Northwestern University); Jesse Engel (Google Research, Brain Team)","Hawthorne, Curtis*; Simon, Ian; Roberts, Adam; Zeghidour, Neil; Gardner, Joshua; Manilow, Ethan; Engel, Jesse",MIR tasks -> music synthesis and transformation,MIR fundamentals and methodology -> music signal processing; MIR fundamentals and methodology -> symbolic music processing,No,"Using an encoder-decoder Transformer, with the decoder trained as a Denoising Diffusion Probabilistic Model (DDPM), enables generating audio from MIDI sequences with arbitrary combinations of instruments.",No,Yes,No,000072.pdf,https://archives.ismir.net/ismir2022/paper/000072.pdf,https://drive.google.com/open?id=1L0KNm15GdRf-LlBskmQap6iSrS167g0W,https://drive.google.com/open?id=1OSgBz7vOidgTnyugE8Up19l-hOKBJ12w,https://drive.google.com/open?id=18uC0iLawsMhkR4nGyZXCTI6NiFD_LD6c,,https://slack.com/app_redirect?channel=C04CKB9RCUA,p5-09-hawthorne
248,3,5,9,"In-person, in Bengaluru",False,DDX7: Differentiable FM Synthesis of Musical Instrument Sounds,"FM Synthesis is a well-known algorithm used to generate complex timbre from a compact set of design primitives. Typically featuring a MIDI interface, it is usually impractical to control it from an audio source.
 On the other hand, Differentiable Digital Signal Processing (DDSP) has enabled nuanced audio rendering by Deep Neural Networks (DNNs) that learn to control differentiable synthesis layers from arbitrary sound inputs. The training process involves a corpus of audio for supervision, and spectral reconstruction loss functions. Such functions, while being great to match spectral amplitudes, present a lack of pitch direction which can hinder the joint optimization of the parameters of FM synthesizers. In this paper, we take steps towards enabling continuous control of a well-established FM synthesis architecture from an audio input. Firstly, we discuss a set of design constraints that ease spectral optimization of a differentiable FM synthesizer via a standard reconstruction loss. Next, we present Differentiable DX7 (DDX7), a lightweight architecture for neural FM resynthesis of musical instrument sounds in terms of a compact set of parameters. We train the model on instrument samples extracted from the URMP dataset, and quantitatively demonstrate its comparable audio quality against selected benchmarks.",Franco Caspe,Franco Caspe (Queen Mary University of London)*; Andrew McPherson (Queen Mary University of London); Mark Sandler (Queen Mary University of London),"Caspe, Franco*; McPherson, Andrew; Sandler, Mark",MIR tasks -> music synthesis and transformation,"Applications -> performance, and production; Musical features and properties -> representations of music; Musical features and properties -> timbre, instrumentation, and singing voice",No,We present a neural network architecture that learns to control an FM synthesizer to effectively reproduce sounds of selected musical instruments from a compact set of parameters.,Yes,Yes,No,000073.pdf,https://archives.ismir.net/ismir2022/paper/000073.pdf,https://drive.google.com/open?id=1tcuAoQbn79II6omDp02niDcXYi1HGVZv,https://drive.google.com/open?id=1CQMt2dW3cGfG7CLbRxTzYkRbLvKG4Rox,https://drive.google.com/open?id=1ttR-uhp_6fldGXAUTlH71VQHFSOlsBhr,https://docs.google.com/presentation/d/1_0wlq4619MN43JPRtCwZ-TdblxJOFTaKVTtTKtvh2Tg/edit?usp=sharing,https://slack.com/app_redirect?channel=C04CCP3LHNJ,p5-10-caspe
250,3,5,10,Virtually,False,Singing beat tracking with Self-supervised front-end and linear transformers,"Tracking beats of singing voices without the presence of musical accompaniment can find many applications in music production, automatic song arrangement, and social media interaction.
 Its main challenge is the lack of strong rhythmic and harmonic patterns that are important for music rhythmic analysis in general. Even for human listeners, this can be a challenging task. As a result, existing music beat tracking systems fail to deliver satisfactory performance on singing voices. In this paper, we propose singing beat tracking as a novel task, and propose the first approach to solving this task. Our approach leverages semantic information of singing voices by employing pre-trained self-supervised WavLM and DistilHuBERT speech representations as the front-end and uses a self-attention encoder layer to predict beats. To train and test the system, we obtain separated singing voices and their beat annotations using source separation and beat tracking on complete songs, followed by manual corrections. 
 Experiments on the 741 separated vocal tracks of the GTZAN dataset show that the proposed system outperforms several state-of-the-art music beat tracking methods by a large margin in terms of beat tracking accuracy. Ablation studies 
 also confirm the advantages of pre-trained self-supervised speech representations over generic spectral features.",Mojtaba Heydari,"Mojtaba Heydari (Department of Electrical and Computer Engineering, University of Rochester, 500 Wilson Blvd, Rochester, NY 14627, USA)*; Zhiyao Duan (Department of Electrical and Computer Engineering, University of Rochester, 500 Wilson Blvd, Rochester, NY 14627, USA)","Heydari, Mojtaba*; Duan, Zhiyao","Musical features and properties -> rhythm, beat, tempo","Musical features and properties -> timbre, instrumentation, and singing voice",No,We introduced singing vocal beat tracking as a new task and proposed 3 models to address it.,Yes,Yes,No,000074.pdf,https://archives.ismir.net/ismir2022/paper/000074.pdf,https://drive.google.com/open?id=1iIMqgx_EjeYlM0uaaSyzJSikF4m5LIfY,https://drive.google.com/open?id=1-XUh6JmUAZckJDnV7rV3_5e-E4_CLOLe,https://drive.google.com/open?id=1ru9Ksqob5mz_y2I8D37yW1mA1iSHuUBI,,https://slack.com/app_redirect?channel=C04CCP3M8TY,p5-11-heydari
277,3,5,11,"In-person, in Bengaluru",False,EnsembleSet: a new high quality synthesised dataset for chamber ensemble separation,"Music source separation research has made great advances in recent years, especially towards the problem of separating vocals, drums, and bass stems from mastered songs. The advances in this field can be directly attributed to the availability of large-scale multitrack research datasets for these mentioned stems. Tasks such as separating similar-sounding sources from an ensemble recording have seen limited research due to the lack of sizeable, bleed-free multitrack datasets. In this paper, we introduce a novel multitrack dataset called EnsembleSet generated using the Spitfire BBC Symphony Orchestra library using ensemble scores from RWC Classical Music Database and Mutopia. Our data generation method introduces automated articulation mapping for different playing styles based on the input MIDI/MusicXML data. The sample library also enables us to render the dataset with 20 different mix/microphone configurations allowing us to study various recording scenarios for each performance. The dataset presents 80 tracks (6+ hours) with a range of string, wind, and brass instruments arranged as chamber ensembles. We also present our benchmark on our synthesised dataset using a permutation-invariant time-domain separation model for chamber ensembles which produces generalisable results when tested on real recordings from existing datasets.",Saurjya Sarkar,"Saurjya Sarkar (Centre for Digital Music, Queen Mary University of London, UK)*; Emmanouil Benetos (Centre for Digital Music, Queen Mary University of London, UK); Mark Sandler (Centre for Digital Music, Queen Mary University of London, UK)","Sarkar, Saurjya*; Benetos, Emmanouil; Sandler, Mark",MIR tasks -> sound source separation,"Domain knowledge -> machine learning/artificial intelligence for music; Evaluation, datasets, and reproducibility -> novel datasets and use cases",No,We introduce a new synthesised chamber ensemble dataset from a highly realistic sample library and show that a model trained exclusively on the synthesised dataset is able to generalise to real world data (from URMP) and outperform SOTA for separating 2 monotimbral instruments from a mixture.,Yes,Yes,No,000075.pdf,https://archives.ismir.net/ismir2022/paper/000075.pdf,https://drive.google.com/open?id=1SVuTvv-13lWyPxHnICvtH-kVhZNfmGqa,https://drive.google.com/open?id=1jFALUuzfK3k0S-L5EdAnlNqc5IOM81xW,https://drive.google.com/open?id=1WpyTZ1dZG5NpVO46cE-1qL4Cjx7bXrG6,https://drive.google.com/open?id=1KsW8Vf0X4pBGvDmBGQlVGGmj7nnIEdKv,https://slack.com/app_redirect?channel=C04CMQW8TDJ,p5-12-sarkar
